Rank,NOC,Gold,Silver,Bronze,Total,Test
1,Norway,14,14,11,39,-15
2,Germany,14,10,7,31,-25
3,Canada,11,8,10,29,-12
4,United States,9,8,6,23,-18
5,Netherlands,8,6,6,20,-31
6,Sweden,7,6,1,14,-20
7,Republic of Korea,5,8,4,17,-15
8,Switzerland,5,6,4,15,-13
9,France,5,4,6,15,-17
10,Austria,5,3,6,14,-15
11,Japan,4,5,4,13,-17
12,Italy,3,2,5,10,-11
13,OAR,2,6,9,17,-18
14,Czech Republic,2,2,3,7,-11
15,Belarus,2,1,0,3,-7
16,China,1,6,2,9,-10
17,Slovakia,1,2,0,3,-7
18,Finland,1,1,4,6,-8
19,Great Britain,1,0,4,5,-8
20,Poland,1,0,1,2,-6
21,Hungary,1,0,0,1,-5
21,Ukraine,1,0,0,1,-5
23,Australia,0,2,1,3,-9
24,Slovenia,0,1,1,2,-6
25,Belgium,0,1,0,1,-5
26,Spain,0,0,2,2,-4
26,New Zealand,0,0,2,2,-4
28,Kazakhstan,0,0,1,1,0
28,Latvia,0,0,1,1,0
28,Liechtenstein,0,0,1,1,-1
